Time,FAM/FAM T (+),TYE/TYE T (-),CY5/CY5 T (m)
0,-1.64E-06,-3.48E-06,5.12E-06
0.016666667,-1.64E-06,-3.48E-06,5.12E-06
0.033333333,-1.64E-06,-3.48E-06,5.12E-06
0.05,-2.25E-05,-0.000143032,0.000165513
0.066666667,-4.24E-05,-0.000288236,0.000330595
0.083333333,-6.15E-05,-0.000428778,0.000490279
0.1,-7.43E-05,-0.000228127,0.000302434
0.116666667,-8.40E-05,-2.70E-05,0.000110999
0.133333333,-9.69E-05,0.000173845,-7.70E-05
0.15,-0.000126867,0.000259451,-0.000132584
0.166666667,-0.000157797,0.000347532,-0.000189736
0.183333333,-0.000187355,0.000432956,-0.0002456
0.2,-0.000447924,0.000842173,-0.000394249
0.216666667,-0.000710035,0.001252385,-0.00054235
0.233333333,-0.000970115,0.001661722,-0.000691607
0.25,-0.000506358,0.001351649,-0.000845291
0.266666667,-3.92E-05,0.001039768,-0.001000601
0.283333333,0.000425156,0.000729301,-0.001154457
0.3,0.000353817,0.000543688,-0.000897505
0.316666667,0.000279716,0.000359791,-0.000639507
0.333333333,0.000207668,0.000174689,-0.000382357
0.35,0.000249056,0.000229567,-0.000478623
0.366666667,0.000288531,0.000287593,-0.000576124
0.383333333,0.000329565,0.000342723,-0.000672287
0.4,0.000534305,0.00022162,-0.000755925
0.416666667,0.000734859,0.000102478,-0.000837337
0.433333333,0.000939431,-1.85E-05,-0.000920902
0.45,0.00038741,0.000352689,-0.000740099
0.466666667,-0.000163605,0.000726315,-0.00056271
0.483333333,-0.000718597,0.001099679,-0.000381081
0.5,-0.000491595,0.001011136,-0.000519541
0.516666667,-0.000266193,0.000921731,-0.000655538
0.533333333,-3.94E-05,0.000833433,-0.000794075
0.55,0.00068114,0.00035536,-0.0010365
0.566666667,0.001403396,-0.000123469,-0.001279928
0.583333333,0.002123109,-0.000601196,-0.001521913
0.6,0.001207784,-1.36E-05,-0.001194213
0.616666667,0.000292535,0.000571411,-0.000863946
0.633333333,-0.000625447,0.001160248,-0.000534801
0.65,-0.000682704,0.001132568,-0.000449864
0.666666667,-0.000739924,0.001099644,-0.00035972
0.683333333,-0.000797003,0.00107216,-0.000275157
0.7,-0.000789779,0.001153522,-0.000363742
0.716666667,-0.000784466,0.00123872,-0.000454253
0.733333333,-0.000776991,0.0013205,-0.000543509
0.75,-0.000543918,0.000918907,-0.000374989
0.766666667,-0.00030932,0.000519236,-0.000209917
0.783333333,-7.57E-05,0.000118452,-4.27E-05
0.8,0.000340957,0.000137039,-0.000477996
0.816666667,0.000756576,0.000154411,-0.000910987
0.833333333,0.0011728,0.000174025,-0.001346826
0.85,0.001068236,0.000182739,-0.001250975
0.866666667,0.000959188,0.000193779,-0.001152967
0.883333333,0.000854739,0.000202571,-0.00105731
0.9,0.000371577,0.000549554,-0.000921131
0.916666667,-0.000112389,0.00089925,-0.000786861
0.933333333,-0.000596008,0.00124664,-0.000650633
0.95,-0.000539916,0.001043932,-0.000504016
0.966666667,-0.000484977,0.000841733,-0.000356756
0.983333333,-0.000428404,0.000638979,-0.000210575
1,-0.000243595,0.000582711,-0.000339116
1.016666667,-5.94E-05,0.000524584,-0.00046516
1.033333333,0.000125785,0.000468073,-0.000593859
1.05,-8.89E-05,0.000696048,-0.000607184
1.066666667,-0.000305748,0.000925146,-0.000619398
1.083333333,-0.000520528,0.001153525,-0.000632997
1.1,2.91E-05,0.00090959,-0.000938708
1.116666667,0.000576061,0.000664429,-0.00124049
1.133333333,0.001125341,0.000420772,-0.001546113
1.15,0.001123832,0.000372646,-0.001496477
1.166666667,0.001125505,0.000323496,-0.001449001
1.183333333,0.001123857,0.000275308,-0.001399165
1.2,0.00085555,0.00040068,-0.001256231
1.216666667,0.000587739,0.000528168,-0.001115906
1.233333333,0.000318767,0.000653804,-0.000972571
1.25,0.000163765,0.000718922,-0.000882687
1.266666667,9.20E-06,0.000779058,-0.000788254
1.283333333,-0.000145825,0.000844688,-0.000698863
1.3,-0.000301872,0.001017516,-0.000715644
1.316666667,-0.000454771,0.001188901,-0.000734129
1.333333333,-0.000610535,0.001362157,-0.000751622
1.35,-0.000579298,0.001336891,-0.000757593
1.366666667,-0.000550395,0.001310958,-0.000760563
1.383333333,-0.000519204,0.001285595,-0.000766391
1.4,-0.000369037,0.001222054,-0.000853017
1.416666667,-0.000220347,0.001156878,-0.000936531
1.433333333,-6.99E-05,0.001093275,-0.001023352
1.45,3.63E-05,0.001032858,-0.001069192
1.466666667,0.000141567,0.000977628,-0.001119195
1.483333333,0.000247662,0.000917353,-0.001165015
1.5,0.000416805,0.000851225,-0.001268029
1.516666667,0.000583963,0.000788719,-0.001372682
1.533333333,0.000752851,0.000722409,-0.00147526
1.55,0.000779955,0.000711746,-0.001491701
1.566666667,0.000811667,0.000698908,-0.001510575
1.583333333,0.000839147,0.000688735,-0.001527881
1.6,0.000653644,0.000518157,-0.001171801
1.616666667,0.00046867,0.000352761,-0.000821431
1.633333333,0.000283516,0.000182489,-0.000466005
1.65,0.000588287,0.000263356,-0.000851643
