Time,FAM/FAM T (+),TYE/TYE T (-),CY5/CY5 T (m)
0,0.778342819,0.165234655,0.095066056
0.016666667,0.778342819,0.165234655,0.095066056
0.033333333,0.778342819,0.165234655,0.095066056
0.05,0.778261784,0.165272334,0.09480379
0.066666667,0.778179692,0.165315568,0.094536737
0.083333333,0.778096005,0.165353283,0.094274225
0.1,0.77808398,0.1651278,0.094437239
0.116666667,0.778069913,0.164902952,0.094604934
0.133333333,0.778057892,0.164677168,0.094767979
0.15,0.778277025,0.164780707,0.095012741
0.166666667,0.77849572,0.164880391,0.095257659
0.183333333,0.778714487,0.164984176,0.095502732
0.2,0.77906164,0.164661543,0.095737966
0.216666667,0.779406786,0.164334365,0.095969101
0.233333333,0.779754007,0.16401217,0.096205498
0.25,0.779108724,0.164140717,0.096177657
0.266666667,0.778463044,0.164274109,0.096154478
0.283333333,0.777816966,0.164402821,0.096126579
0.3,0.77800962,0.164709749,0.095990942
0.316666667,0.778201643,0.165011568,0.095850866
0.333333333,0.778394825,0.165317804,0.09571485
0.35,0.77807869,0.164988178,0.095536369
0.366666667,0.777762959,0.164653897,0.095357615
0.383333333,0.777447631,0.164324473,0.095179483
0.4,0.777296844,0.164499529,0.095317074
0.416666667,0.777148249,0.16467063,0.095450445
0.433333333,0.776997764,0.164845723,0.095588097
0.45,0.777890878,0.164815599,0.095748387
0.466666667,0.778785344,0.164785424,0.095914449
0.483333333,0.779683473,0.164755197,0.096075957
0.5,0.779435803,0.164823072,0.096193749
0.516666667,0.779187946,0.164890023,0.096307291
0.533333333,0.77894041,0.164957618,0.096425127
0.55,0.777844037,0.165059817,0.096291677
0.566666667,0.77674933,0.165166195,0.096162654
0.583333333,0.775654499,0.165268804,0.096029521
0.6,0.776953749,0.165065103,0.096085746
0.616666667,0.77825616,0.164867284,0.096142641
0.633333333,0.779559946,0.16466425,0.096199299
0.65,0.779567512,0.16464224,0.096064672
0.666666667,0.779575329,0.16462576,0.095925124
0.683333333,0.779582888,0.164603725,0.095791043
0.7,0.779593983,0.164540683,0.095897947
0.716666667,0.779605992,0.164472806,0.096005779
0.733333333,0.779617115,0.164409625,0.096113633
0.75,0.779270797,0.164697972,0.095831868
0.766666667,0.778924916,0.16498636,0.095555513
0.783333333,0.778578962,0.16527479,0.095275975
0.8,0.777944152,0.16503807,0.095493105
0.816666667,0.777308768,0.164800933,0.09570633
0.833333333,0.776674603,0.164563378,0.095924229
0.85,0.777081628,0.164857125,0.096130839
0.866666667,0.777490538,0.165145946,0.096332692
0.883333333,0.777897234,0.165439402,0.096539283
0.9,0.778625576,0.165337599,0.096648284
0.916666667,0.779353595,0.165231956,0.096758067
0.933333333,0.780083088,0.16513044,0.096867713
0.95,0.779706432,0.165012584,0.096400532
0.966666667,0.779327539,0.164890829,0.095929318
0.983333333,0.778950516,0.164773133,0.095462688
1,0.778808209,0.164871902,0.095633729
1.016666667,0.778664908,0.164970899,0.095800644
1.033333333,0.778522412,0.165070124,0.095972056
1.05,0.778913149,0.165018237,0.09616147
1.066666667,0.779303247,0.164962352,0.096346897
1.083333333,0.779694506,0.164910452,0.096536975
1.1,0.779219127,0.165228656,0.096916953
1.116666667,0.778745109,0.165546741,0.09729166
1.133333333,0.778270138,0.165864707,0.097671593
1.15,0.778202611,0.165843796,0.09755292
1.166666667,0.778134855,0.165826864,0.097439361
1.183333333,0.778067384,0.165805933,0.097320406
1.2,0.778407271,0.165752141,0.097249052
1.216666667,0.778748826,0.165698397,0.097182471
1.233333333,0.779089735,0.165644699,0.097111074
1.25,0.77900207,0.165336913,0.096778523
1.266666667,0.77891351,0.165033648,0.096440961
1.283333333,0.778825859,0.164725346,0.096108897
1.3,0.779225366,0.164795977,0.096369137
1.316666667,0.779625809,0.164872137,0.096635167
1.333333333,0.780025383,0.164942691,0.096896469
1.35,0.780124519,0.16509833,0.097032813
1.366666667,0.780224619,0.165253265,0.097164786
1.383333333,0.780323875,0.165409076,0.097301061
1.4,0.78010646,0.165405369,0.097320441
1.416666667,0.779888884,0.16540166,0.097335068
1.433333333,0.779671145,0.165397947,0.097354574
1.45,0.779419202,0.165312678,0.097254728
1.466666667,0.779169488,0.165223427,0.09716025
1.483333333,0.778917877,0.165138186,0.097060554
1.5,0.77846407,0.16491965,0.096878904
1.516666667,0.778010512,0.164695756,0.096697157
1.533333333,0.777557204,0.164477646,0.096515315
1.55,0.77803302,0.164991228,0.097034676
1.566666667,0.778506965,0.165509724,0.097559207
1.583333333,0.77898316,0.166023572,0.098080188
1.6,0.779029703,0.166055191,0.097585148
1.616666667,0.779075347,0.166081256,0.097095448
1.633333333,0.779121898,0.166112925,0.096601419
1.65,0.77893613,0.166151061,0.09710606
1.666666667,0.778752361,0.166184431,0.097606891
1.683333333,0.778566467,0.166222614,0.098113591
1.7,0.777884594,0.16605159,0.097879417
1.716666667,0.777203881,0.165875709,0.097639553
1.733333333,0.776522008,0.16570456,0.097404647
1.75,0.777653013,0.165738569,0.09726612
1.766666667,0.778785614,0.165772604,0.097132954
1.783333333,0.779918007,0.165806665,0.096994496
1.8,0.779774363,0.16596937,0.097904647
1.816666667,0.779629791,0.166127137,0.098817769
1.833333333,0.779486102,0.16628956,0.099732915
1.85,0.779514859,0.166327793,0.099136713
1.866666667,0.779545695,0.166360457,0.098540519
1.883333333,0.779574477,0.166398741,0.097945296
1.9,0.77978255,0.166223583,0.097625022
1.916666667,0.77999058,0.166042824,0.097309796
1.933333333,0.78019908,0.165867657,0.096990843
